AreaM2,Type,Location,DurationDays,MaterialQuantity,LaborHours
2684.042,Residencial,Bogota,260,3465.724,552.737
2907.279,Industrial,Bogota,370,5666.463,822.95
2039.718,Comercial,Medellin,139,3035.466,386.625
3263.055,Industrial,Medellin,90,4906.543,815.551
3271.161,Industrial,Bogota,347,6201.544,1040.089
2781.118,Industrial,Bogota,39,4461.097,701.247
3290.523,Residencial,Cali,390,4549.325,671.972
626.257,Residencial,Bogota,379,933.68,132.887
1026.095,Remodelacion,Medellin,318,1090.007,234.241
2432.078,Industrial,Bogota,213,4660.498,683.594
901.137,Residencial,Medellin,143,998.609,179.067
316.289,Comercial,Bogota,386,574.378,80.478
2015.901,Residencial,Rural,25,1794.319,287.55
2628.677,Residencial,Rural,447,3274.122,503.31
2479.843,Residencial,Medellin,85,2812.179,483.332
2145.83,Comercial,Medellin,437,3853.86,549.037
111.969,Remodelacion,Rural,173,105.013,21.341
443.961,Comercial,Medellin,377,717.966,97.632
890.094,Industrial,Cali,474,1808.65,260.664
2869.775,Comercial,Cali,475,5117.063,622.345
1404.541,Remodelacion,Bogota,121,1435.621,306.304
891.931,Industrial,Cali,63,1464.242,187.584
455.664,Comercial,Medellin,365,815.955,96.903
201.864,Remodelacion,Rural,129,190.165,43.028
1143.007,Industrial,Barranquilla,307,1892.16,280.219
760.774,Residencial,Medellin,449,1169.775,179.572
571.147,Remodelacion,Bogota,155,626.059,141.475
2859.982,Residencial,Cali,200,3606.474,535.373
1415.63,Remodelacion,Cali,269,1598.743,354.445
543.798,Residencial,Bogota,103,718.674,112.494
1636.878,Industrial,Cali,77,2679.595,410.4
3566.011,Residencial,Medellin,269,4676.454,791.884
3295.556,Industrial,Medellin,176,5632.271,881.576
1014.793,Remodelacion,Barranquilla,107,913.297,202.864
3340.293,Industrial,Bogota,213,6498.582,984.936
3122.918,Remodelacion,Rural,234,3127.268,721.985
654.259,Industrial,Medellin,311,1209.165,184.767
475.242,Remodelacion,Medellin,259,535.237,108.796
2135.767,Remodelacion,Cali,111,2179.452,420.075
